嗚呼,ああ,aa,Ah!;Oh!;Alas!
相,あい,ai,together;mutually;fellow
愛,あい,ai,love
相変わらず,あいかわらず,aikawarazu,as ever;as usual;the same
挨拶,あいさつ,aisatsu,greeting;salutation
愛情,あいじょう,aijyou,love;affection
愛する,あいする,aisuru,to love
合図,あいず,aizu,sign;signal
愛想,あいそ,aiso,civility;courtesy;compliments;sociability;graces
相対,あいたい,aitai,confrontation;facing;between ourselves;no third party;tete-a-tete
間,あいだ,aida,space;interval
間,あいだ,aida,space;interval
間,あいだ,aida,space;interval
間柄,あいだがら,aidagara,relation(ship)
相手,あいて,aite,companion;partner;company
愛憎,あいにく,ainiku,likes and dislikes
合間,あいま,aima,interval
曖昧,あいまい,aimai,vague;ambiguous
合う,あう,au,to fit;to suit;to agree with;to match;to be correct;to be profitable
会う,あう,au,to meet;to interview
遭う,あう,au,to meet;to encounter (undesirable nuance)
敢えて,あえて,aete,dare (to do);challenge (to do)
青,あお,ao,blue;green;green light
青い,あおい,aoi,blue;pale;green;unripe;inexperienced
仰ぐ,あおぐ,aogu,to look up (to);to respect;to depend on;to ask for;to seek;to revere;to drink;to take
青白い,あおじろい,aojiroi,pale;pallid
垢,あか,aka,dirt;filth
亜科,あか,aka,suborder;subfamily
赤い,あかい,akai,red
銅,あかがね,akagane,copper
証,あかし,akashi,proof;evidence
赤字,あかじ,akaji,deficit;go in the red
明かす,あかす,akasu,to pass;spend;to reveal;to divulge
赤ちゃん,あかちゃん,akachan,baby;infant
明白,あからさま,akarasama,obvious;overt;plainly;frankly
赤らむ,あからむ,akaramu,to become red;to redden;to blush
明かり,あかり,akari,lamplight;light (in general);brightness
明るい,あかるい,akarui,bright;cheerful
赤ん坊,あかんぼう,akanbou,baby
上がり,あがり,agari,1.  slope;advance income;crop yield;ascent;rise;advance;death;spinning;completion;stop;finish;after (rain);ex (official  etc.); 2.  freshly-drawn green tea (esp. in sushi shops)
上がる,あがる,agaru,to enter;to go up;to rise;to climb up;to advance;to appreciate;to be promoted;to improve;to call on;to be offered;to accrue;to be finished;to come to (expenses);to go bankrupt;to begin spinning (cocoons);to be caught;to get ruffled;to eat;to drink;to die;
秋,あき,aki,autumn;fall
明き,あき,aki,room;time to spare;emptiness;vacant
空き,あき,aki,room;time to spare;emptiness;vacant
商人,あきうど,akiudo,trader;shopkeeper;merchant
空間,あきま,akima,vacancy;room for rent or lease
明らか,あきらか,akiraka,obvious;evident;clear;plain
諦め,あきらめ,akirame,resignation;acceptance;consolation
諦める,あきらめる,akirameru,to give up;to abandon
飽きる,あきる,akiru,to get tired of;to lose interest in;to have enough
呆れる,あきれる,akireru,to be amazed;to be shocked
悪,あく,aku,evil;wickedness
開く,あく,aku,to be open
空く,あく,aku,to become empty;to be less crowded
空く,あく,aku,to become empty;to be less crowded
灰,あく,aku,puckery juice
握手,あくしゅ,akushu,handshake
,あくどい,akudoi,1.  gaudy;showy;excessive; 2.  vicious
悪日,あくび,akubi,unlucky day
悪魔,あくま,akuma,devil;demon;fiend;Satan;evil spirit
飽くまで,あくまで,akumade,to the end;to the last;stubbornly;persistently
明くる,あくる,akuru,next;following
明け方,あけがた,akegata,dawn
開ける,あける,akeru,to open
明ける,あける,akeru,to dawn;to become daylight
上げる,あげる,ageru,to give;to raise;to elevate;to fly (kites);to praise;to increase;to advance;to promote;to vomit;to usher in;to admit;to send (to school);to offer;to present;to leave with;to finish;to arrange (expenses);to observe;to perform;to quote;to mention;to bear (a
挙げる,あげる,ageru,to raise;to fly;to give (an example)
憧れ,あこがれ,akogare,yearning;longing;aspiration
憧れる,あこがれる,akogareru,to long for;to yearn after;to admire
顎,あご,ago,chin
麻,あさ,asa,flax;linen;hemp
朝,あさ,asa,morning
浅い,あさい,asai,shallow;superficial
明後日,あさって,asate,day after tomorrow
明後日,あさって,asate,day after tomorrow
朝寝坊,あさねぼう,asanebou,oversleeping;late riser
浅ましい,あさましい,asamashii,wretched;miserable;shameful;mean;despicable;abject
字,あざ,aza,section of village
字,あざ,aza,section of village
欺く,あざむく,azamuku,to deceive
鮮やか,あざやか,azayaka,vivid;clear;brilliant
あざ笑う,あざわらう,azawarau,to sneer at;to ridicule
足,あし,ashi,foot;pace;gait;leg
足,あし,ashi,foot;pace;gait;leg
足跡,あしあと,ashiato,footprints
悪しからず,あしからず,ashikarazu,don't take me wrong  but...;I'm sorry
明日,あした,ashita,tomorrow
明日,あした,ashita,tomorrow
足元,あしもと,ashimoto,1.  at one's feet;underfoot; 2.  gait;pace;step
味,あじ,aji,flavor;taste
味,あじ,aji,flavor;taste
味わい,あじわい,ajiwai,flavour;meaning;significance
味わう,あじわう,ajiwau,to taste;to savor;to relish
預かる,あずかる,azukaru,to keep in custody;to receive on deposit;to take charge of
預ける,あずける,azukeru,to give into custody;to leave (a child) in the care of;to entrust;to deposit
東,あずま,azuma,east;Eastern Japan
汗,あせ,ase,sweat;perspiration
焦る,あせる,aseru,to be in a hurry;to be impatient
焦る,あせる,aseru,to be in a hurry;to be impatient
彼処,あそこ,asoko,1.  (uk) there;over there;that place; 2.  (X) (col) genitals
遊び,あそび,asobi,playing
値,あたい,atai,value;price;cost;worth;merit
値,あたい,atai,value;price;cost;worth;merit
値する,あたいする,ataisuru,to be worth;to deserve;to merit
与える,あたえる,ataeru,to give;to present;to award
私,あたし,atashi,I (fem)
暖かい,あたたかい,atatakai,warm;mild;genial
暖まる,あたたまる,atatamaru,to warm oneself;to sun oneself;to warm up;to get warm
暖める,あたためる,atatameru,to warm;to heat
頭,あたま,atama,head
頭,あたま,atama,head
頭,あたま,atama,head
新しい,あたらしい,atarashii,new
当たり,あたり,atari,hit;success;reaching the mark;per ...;vicinity;neighborhood
辺り,あたり,atari,(in the) neighbourhood;vicinity;nearby
当たり前,あたりまえ,atarimae,usual;common;ordinary;natural;reasonable;obvious
当たる,あたる,ataru,to be hit;to be successful;to face (confront);to lie (in the direction of);to undertake;to treat;to be equivalent to;to apply to;to be applicable;to be assigned
他人,あだびと,adabito,another person;unrelated person;outsider;stranger
彼方此方,あちこち,achikochi,here and there
彼方,あちら,achira,1.  there;yonder;that
彼方此方,あちらこちら,achirakochira,here and there
悪化,あっか,aka,deterioration;growing worse;aggravation;degeneration;corruption
呆気ない,あっけない,akkenai,not enough;too quick (short  long  etc.)
悪口,あっこう,akkou,abuse;insult;slander;evil speaking
,あっさり,assari,easily;readily;quickly
圧縮,あっしゅく,ashuku,compression;condensation;pressure
,あっち,achi,over there
圧迫,あっぱく,appaku,pressure;coercion;oppression
厚い,あつい,atsui,cordial;kind;warm(hearted);thick;deep
暑い,あつい,atsui,hot;warm
熱い,あつい,atsui,hot (thing)
扱い,あつかい,atsukai,treatment;service
扱う,あつかう,atsukau,to handle;to deal with;to treat
厚かましい,あつかましい,atsukamashii,impudent;shameless;brazen
集まり,あつまり,atsumari,gathering;meeting;assembly;collection
集まる,あつまる,atsumaru,to gather;to collect;to assemble
集める,あつめる,atsumeru,to collect;to assemble
誂える,あつらえる,atsuraeru,to give an order;to place an order
圧力,あつりょく,atsuryoku,stress;pressure
当て,あて,ate,object;aim;end;hopes;expectations
宛,あて,ate,addressed to
当て字,あてじ,ateji,phonetic-equivalent character;substitute character
宛名,あてな,atena,address;direction
当てはまる,あてはまる,atehamaru,to apply (a rule)
当てはめる,あてはめる,atehameru,to apply;to adapt
宛てる,あてる,ateru,to address
当てる,あてる,ateru,to hit;to apply a patch
後,あと,ato,after;behind;later;rear;remainder;successor
跡,あと,ato,trace;tracks;mark;scar;sign;remains;ruins
後,あと,ato,after;behind;later;rear;remainder;successor
後,あと,ato,after;behind;later;rear;remainder;successor
後,あと,ato,after;behind;later;rear;remainder;successor
後,あと,ato,after;behind;later;rear;remainder;successor
跡継ぎ,あとつぎ,atotsugi,heir;successor
後回し,あとまわし,atomawashi,putting off;postponing
穴,あな,ana,hole
貴女,あなた,anata,you;lady
兄,あに,ani,older brother
姉,あね,ane,older sister
彼の,あの,ano,that over there
暴れる,あばれる,abareru,to act violently;to rage;to struggle;to be riotous
浴びる,あびる,abiru,to bathe;to bask in the sun;to shower
溢れる,あふれる,afureru,to flood;to overflow;to brim over
危ない,あぶない,abunai,dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!
油,あぶら,abura,oil
油,あぶら,abura,oil
油絵,あぶらえ,aburae,oil painting
炙る,あぶる,aburu,to scorch
